username,post_text,posted_date,retweets,favorites
gganbat,Оюун-Эрдэнэ юу ч хэлэхгүйгээр маш удаан ярьдаг өвөрмөц “ур чадвар”-тай хүн шүү. Сонирхолтой.,2026-03-12 08:34:57+00:00,4,9
tegshzy,Л.Оюун-Эрдэнэ: Өнөөдрийн Г.Занданшатар дарга бол хөөрхий дөө. Энэ асуудалд дунд хүнд байгаа байх. Тиймээс би шүүмжлэхгүй. Гэхдээ өөрөө тогтож үлдэхийн тулд өнгөрснөө үгүйсгээд баймааргүй байна. https://t.co/61zmSQgsEH,2026-03-12 07:19:50+00:00,6,9
erxembtr,Л.ОЮУН-ЭРДЭНЭ: А.Амундраг Х.Баттулгад ажиллуулж болохгүй гэх чиглэлийг Ерөнхийлөгч У.Хүрэлсүх надад өгсөн учраас би зөвлөхөөрөө авч ажиллуулсан‼‼ https://t.co/Yzcj3sLHbz,2026-03-12 06:28:11+00:00,9,9
UBn_mn,"Л.ОЮУН-ЭРДЭНЭ: МАН-ын даргад өрсөлдөх Д.Амарбаясгалангийн шийдвэр цэвэр өөрийнх нь гаргасан шийдвэр‼️‼️

Ийм шийдвэр эрсдэлтэйг бид бүгд л хэлж байсан‼️

БҮТЭН ЯРИЛЦЛАГА ҮЗЭХ: https://t.co/Xj5mxUgi2j

@OyunerdeneMN @AmaraaDshzvg @Enkhbayar_bat @Zandanshatar @Sodbaatar_Ya https://t.co/8j8Oi0mZPb",2026-03-12 06:11:15+00:00,6,8
UBn_mn,"Л.Оюун-Эрдэнэ: Зандан дарга шинэ үеийн ТЕРМИНАТОР болж жүжиглээд хэрэггүй‼️

Эх сурвалж: ""Лхагвын тойм"" нэвтрүүлэг

БҮТЭН ЯРИЛЦЛАГА ҮЗЭХ: https://t.co/RrKY7xU6fW

@OyunerdeneMN @Zandanshatar https://t.co/ymWlAKv9vM",2026-03-12 11:16:29+00:00,4,7
Baagij13310361,Л.Оюун-Эрдэнэ Ерөнхийлөгчийн санаачилсан УИХ-ын гишүүнд хариуцлага тооцох хуулийг эсэргүүцэж импийчмент хийх тухай ярьж эхлэв. Энэ тухайд иргэдийн байр суурь‼️ https://t.co/MwdhQvUsTp,2026-03-12 14:29:31+00:00,2,7
UBn_mn,"Л.Оюун-Эрдэнэ: Х.Баттулгыг 2021 онд Ардын намаас нэр дэвшүүлээд төслүүдээ явуулъя гэсэн саналыг У.Хүрэлсүх гаргаж байсан‼️

Х.Баттулгагүй У.Хүрэлсүх, У.Хүрэлсүхгүй Х.Баттулга гэж байгаагүй‼️

БҮТЭН ЯРИЛЦЛАГА ҮЗЭХ: https://t.co/RrKY7xU6fW

@OyunerdeneMN @BattulgaKh @UKhurelsukh https://t.co/P9ILGqRjNc",2026-03-12 12:25:24+00:00,11,6
Baagij13310361,"Л.ОЮУН-ЭРДЭНЭ: МАН-ын даргад өрсөлдөх Д.Амарбаясгалангийн шийдвэр цэвэр өөрийнх нь гаргасан шийдвэр‼️‼️
Ийм шийдвэр эрсдэлтэйг бид бүгд л хэлж байсан‼️ https://t.co/24cLztzIVF",2026-03-12 06:11:07+00:00,2,6
Ariunq,Гэрчүүд нь яриад бхд үнэн эсэхийг асуух утгагүй биз. Амарбаясгалан ч тэр Оюун-Эрдэнэ ч тэр энэ талаар ам нээлээ. https://t.co/9GmFrrl3gI,2026-03-12 06:23:45+00:00,3,6
1964Sukhee,"Л.Оюун-Эрдэнэ: Ерөнхийлөгч дахин улирах эсвэл буугаад намын дарга болохын төлөө энэ маргаан гарсан . 
Амаараа хэллээ анх удаа. Нам бус хүн штээ уг нь гэж онцлов. Тэд эвлэрэх зай үлдсэн гээд 9 сар хүлээжээ. Тэгээд эвлэхгүй хагарсан тул ам нээж бгаа бололтой

Лхагвын тойм",2026-03-12 06:17:44+00:00,4,6
